,Start date,Start station number,End station number,Bike model,Total duration (m),Start time,start_coordinates,end_coordinates,public_transport,cycling
128,20250131,300050,1140,CLASSIC,19,2337,"51.491327,-0.096518684","51.4853572,-0.142207481",31.0,19.0
129,20250131,1226,1053,CLASSIC,5,2337,"51.529423,-0.097122","51.52326004,-0.104708922",16.0,4.0
130,20250131,2678,1166,CLASSIC,12,2337,"51.50935171,-0.14744969","51.52202903,-0.165842551",25.0,9.0
131,20250131,200025,1051,CLASSIC,11,2337,"51.54119,-0.058826101","51.53404294,-0.086379717",22.0,10.0
132,20250131,1090,1005,CLASSIC,4,2337,"51.52443845,-0.138019439","51.53300545,-0.136792671",13.0,4.0
133,20250131,200149,1029,CLASSIC,17,2337,"51.511542,-0.056667","51.52915444,-0.093421615",28.0,19.0
134,20250131,300050,3481,CLASSIC,2,2337,"51.491327,-0.096518684","51.49148474,-0.090220911",5.0,1.0
135,20250131,300062,1219,CLASSIC,16,2336,"51.488067,-0.057774596","51.5001394,-0.1139359999999953",29.0,19.0
136,20250131,3436,200209,CLASSIC,9,2336,"51.50136494,-0.191462381","51.5015946,-0.222293381",19.0,10.0
137,20250131,3423,1138,PBSC_EBIKE,19,2336,"51.529857,-0.18348604","51.49236962,-0.147478734",39.0,21.0
138,20250131,300209,300207,CLASSIC,5,2336,"51.4765900593,-0.118256789081","51.464995,-0.13090885",12.0,9.0
139,20250131,300234,300213,PBSC_EBIKE,4,2336,"51.541793,-0.00481","51.5403115,-0.021630359",15.0,6.0
140,20250131,300074,300214,PBSC_EBIKE,8,2336,"51.51612862,-0.120909408","51.505461,-0.10454093",21.0,10.0
141,20250131,1156,978,CLASSIC,2,2336,"51.52367314,-0.128377673","51.52341837,-0.124121774",6.0,3.0
142,20250131,1052,300234,PBSC_EBIKE,33,2336,"51.51563144,-0.132328837","51.541793,-0.00481",31.0,44.0
143,20250131,300012,300076,CLASSIC,11,2336,"51.4737636,-0.197010096","51.4795738,-0.17903854",14.0,6.0
144,20250131,1147,1041,CLASSIC,9,2336,"51.52557531,-0.179592915","51.51552971,-0.190240716",27.0,6.0
145,20250131,1095,1029,PBSC_EBIKE,18,2336,"51.49874469,-0.103132904","51.52915444,-0.093421615",37.0,15.0
146,20250131,300026,1178,CLASSIC,10,2335,"51.5190427,-0.204764421","51.515607,-0.183118788",16.0,9.0
147,20250131,200034,200213,PBSC_EBIKE,13,2335,"51.504749,-0.057544","51.52868155,-0.065550321",23.0,10.0
148,20250131,1191,1064,CLASSIC,6,2335,"51.52004497,-0.092176447","51.525615,-0.0885326000000077",14.0,3.0
149,20250131,300051,300086,CLASSIC,9,2335,"51.46517078,-0.18038939","51.47993289,-0.19411695",15.0,10.0
150,20250131,300089,200098,CLASSIC,14,2335,"51.48796408,-0.161765173","51.48102131,-0.209973497",33.0,16.0
151,20250131,200099,22177,CLASSIC,17,2335,"51.503083,-0.017676","51.513074,-0.064094",23.0,17.0
152,20250131,1191,1064,CLASSIC,6,2336,"51.52004497,-0.092176447","51.525615,-0.0885326000000077",11.0,3.0
153,20250131,300234,300213,CLASSIC,6,2335,"51.541793,-0.00481","51.5403115,-0.021630359",15.0,6.0
154,20250131,960,1082,CLASSIC,7,2336,"51.50462759,-0.091773776","51.49889832,-0.100440521",14.0,5.0
155,20250131,300050,200239,CLASSIC,32,2334,"51.491327,-0.096518684","51.51793,-0.067937",34.0,21.0
156,20250131,200060,300043,CLASSIC,9,2334,"51.487196,-0.179369","51.47893931,-0.208485293",16.0,9.0
157,20250131,300015,200207,CLASSIC,3,2334,"51.47250956,-0.122831913","51.47787084,-0.126874471",9.0,3.0
158,20250131,961,1102,PBSC_EBIKE,16,2335,"51.50368837,-0.098497684","51.51236389,-0.06954201",30.0,11.0
159,20250131,1159,1007,CLASSIC,13,2333,"51.52285301,-0.099994052","51.51477076,-0.12221963",16.0,8.0
160,20250131,2660,1222,PBSC_EBIKE,9,2333,"51.51310333,-0.13121385","51.528246,-0.10102611",32.0,15.0
161,20250131,300013,300052,CLASSIC,20,2333,"51.474376,-0.155442787","51.475089,-0.201968",37.0,19.0
162,20250131,1006,3439,CLASSIC,2401,2332,"51.51863,-0.1326763000000141","51.5262503,-0.123509611",20.0,5.0
163,20250131,988,200156,PBSC_EBIKE,20,2332,"51.51772703,-0.127854211","51.527152,-0.058005",29.0,27.0
164,20250131,1036,1096,CLASSIC,13,2332,"51.52026,-0.157183945","51.511933,-0.174411",17.0,7.0
165,20250131,969,3428,CLASSIC,9,2331,"51.52522753,-0.13518856","51.5341235,-0.129386874",16.0,8.0
166,20250131,1160,1105,CLASSIC,23,2331,"51.50810309,-0.12602103","51.51492456,-0.066078037",29.0,19.0
167,20250131,200250,200256,CLASSIC,5,2331,"51.520893,-0.051394","51.511066,-0.053558",21.0,4.0
168,20250131,1089,300008,CLASSIC,10,2331,"51.49396755,-0.17873226","51.48438657,-0.20481514",14.0,8.0
169,20250131,1071,1213,CLASSIC,11,2331,"51.50950627,-0.075459482","51.50227992,-0.074189225",15.0,6.0
170,20250131,300246,3439,PBSC_EBIKE,13,2331,"51.50621,-0.114842","51.5262503,-0.123509611",22.0,11.0
171,20250131,1064,973,CLASSIC,6,2331,"51.525615,-0.0885326000000077","51.52364804,-0.074754872",15.0,5.0
172,20250131,300086,300095,CLASSIC,2,2331,"51.47993289,-0.19411695","51.47727637,-0.189210466",8.0,1.0
173,20250131,1078,1118,CLASSIC,5,2331,"51.49488108,-0.117974901","51.49217002,-0.101536865",18.0,6.0
174,20250131,300234,1171,CLASSIC,29,2330,"51.541793,-0.00481","51.518154,-0.062697",23.0,20.0
175,20250131,1151,200241,PBSC_EBIKE,26,2330,"51.50654321,-0.123179697","51.53341,-0.049591815",45.0,27.0
176,20250131,300216,200033,PBSC_EBIKE,32,2330,"51.477966,-0.14785703","51.515256,-0.058641",48.0,38.0
177,20250131,200152,200034,PBSC_EBIKE,15,2330,"51.53558,-0.08249","51.504749,-0.057544",30.0,24.0
178,20250131,200121,200156,CLASSIC,11,2330,"51.53908372,-0.070329419","51.527152,-0.058005",29.0,7.0
179,20250131,3420,1174,CLASSIC,7,2329,"51.49313,-0.156876","51.48805753,-0.140741432",10.0,5.0
180,20250131,200183,300051,PBSC_EBIKE,9,2329,"51.4795017,-0.141770709","51.46517078,-0.18038939",18.0,20.0
181,20250131,300214,10628,CLASSIC,10,2329,"51.505461,-0.10454093","51.488105,-0.110121",23.0,8.0
182,20250131,300249,1103,CLASSIC,11,2329,"51.501513,-0.12382322","51.49096258,-0.139625122",18.0,8.0
183,20250131,3457,200132,CLASSIC,9,2329,"51.49582705,-0.13547809","51.49605,-0.104193",19.0,12.0
184,20250131,300214,10628,CLASSIC,10,2329,"51.505461,-0.10454093","51.488105,-0.110121",23.0,8.0
185,20250131,300249,1103,CLASSIC,11,2329,"51.501513,-0.12382322","51.49096258,-0.139625122",18.0,8.0
186,20250131,22180,3458,CLASSIC,8,2329,"51.51397065,-0.09294031","51.50663341,-0.131773845",28.0,13.0
187,20250131,200156,300213,PBSC_EBIKE,8,2329,"51.527152,-0.058005","51.5403115,-0.021630359",27.0,12.0
188,20250131,22169,1038,CLASSIC,9,2330,"51.524564,-0.116279","51.53301907,-0.139174593",25.0,10.0
189,20250131,200184,300051,PBSC_EBIKE,15,2328,"51.47946386,-0.195777222","51.46517078,-0.18038939",16.0,10.0
190,20250131,3457,200132,CLASSIC,10,2328,"51.49582705,-0.13547809","51.49605,-0.104193",19.0,12.0
191,20250131,1051,200025,PBSC_EBIKE,7,2328,"51.53404294,-0.086379717","51.54119,-0.058826101",23.0,10.0
192,20250131,1124,300221,CLASSIC,9,2328,"51.49121192,-0.173715911","51.4835074867,-0.147714557371",12.0,10.0
193,20250131,300239,200227,PBSC_EBIKE,33,2329,"51.492807,-0.091938","51.506093,-0.2242237",52.0,46.0
194,20250131,200112,300040,CLASSIC,18,2329,"51.54211855,-0.028941601","51.53571683,-0.060291813",22.0,12.0
195,20250131,200032,300209,CLASSIC,4,2327,"51.483145,-0.113134","51.4765900593,-0.118256789081",8.0,5.0
196,20250131,200032,300209,CLASSIC,3,2327,"51.483145,-0.113134","51.4765900593,-0.118256789081",8.0,5.0
197,20250131,300057,300210,CLASSIC,18,2327,"51.51787005,-0.201005397","51.483911,-0.19760944",32.0,20.0
198,20250131,200067,200017,PBSC_EBIKE,7,2327,"51.50646524,-0.208486599","51.511654,-0.179668",12.0,11.0
199,20250131,300214,1216,CLASSIC,13,2327,"51.505461,-0.10454093","51.50029631,-0.092762704",18.0,5.0
200,20250131,200198,300097,CLASSIC,21,2327,"51.520331,-0.163667","51.491026,-0.209121",32.0,25.0
201,20250131,1089,300069,CLASSIC,13,2326,"51.49396755,-0.17873226","51.48795853,-0.187404506",14.0,4.0
202,20250131,2687,300039,PBSC_EBIKE,12,2326,"51.52261762,-0.071653961","51.53603947,-0.026262677",26.0,16.0
203,20250131,300226,300227,CLASSIC,2,2326,"51.544909,-0.0205426","51.546805,-0.01469126",7.0,1.0
204,20250131,1094,1018,CLASSIC,4,2326,"51.50039792,-0.193068385","51.49960695,-0.197574246",5.0,1.0
205,20250131,200125,3492,CLASSIC,2,2326,"51.468814,-0.210279","51.466907,-0.216573",7.0,2.0
206,20250131,200237,300038,CLASSIC,7,2326,"51.472817,-0.199783","51.48724429,-0.205279052",20.0,7.0
207,20250131,200205,200125,PBSC_EBIKE,37,2326,"51.46321128,-0.215550761","51.468814,-0.210279",8.0,3.0
208,20250131,3468,300212,CLASSIC,5,2325,"51.52659961,-0.112432615","51.5301998755,-0.122299440803",9.0,4.0
209,20250131,3444,300008,CLASSIC,5,2325,"51.49159394,-0.192369256","51.48438657,-0.20481514",7.0,6.0
210,20250131,300045,300216,PBSC_EBIKE,4,2325,"51.47439218,-0.163347594","51.477966,-0.14785703",13.0,5.0
211,20250131,978,1154,CLASSIC,20,2325,"51.52341837,-0.124121774","51.49571828,-0.110889274",31.0,20.0
212,20250131,200255,22183,CLASSIC,39,2325,"51.52512,-0.015578","51.534474,-0.122203",47.0,38.0
213,20250131,200011,200012,CLASSIC,6,2325,"51.519265,-0.021345","51.521889,-0.04667",13.0,8.0
214,20250131,200230,200073,CLASSIC,7,2325,"51.525501,-0.032267204","51.522561,-0.054883",19.0,8.0
215,20250131,2695,1150,PBSC_EBIKE,15,2325,"51.492462,-0.159919","51.51031,-0.18740235",33.0,14.0
216,20250131,300038,200116,CLASSIC,38,2325,"51.48724429,-0.205279052","51.48959104,-0.209378594",7.0,1.0
217,20250131,200052,10625,PBSC_EBIKE,12,2324,"51.495947,-0.17368958","51.52289229,-0.171681991",,
218,20250131,3427,200025,PBSC_EBIKE,9,2324,"51.52953709,-0.083353323","51.54119,-0.058826101",30.0,10.0
219,20250131,300253,300061,CLASSIC,5,2324,"51.497995,-0.063471392","51.495598,-0.078893",14.0,4.0
220,20250131,200052,10625,PBSC_EBIKE,12,2324,"51.495947,-0.17368958","51.52289229,-0.171681991",,
221,20250131,1072,200248,CLASSIC,17,2324,"51.50379168,-0.11282408","51.53213,-0.08299",42.0,20.0
222,20250131,3476,1009,PBSC_EBIKE,8,2324,"51.51681444,-0.151926305","51.52505093,-0.131161087",25.0,9.0
223,20250131,3459,300038,CLASSIC,9,2323,"51.4916156,-0.186753859","51.48724429,-0.205279052",14.0,6.0
224,20250131,3420,3454,CLASSIC,4,2323,"51.49313,-0.156876","51.49358391,-0.165101392",11.0,2.0
225,20250131,1171,200254,PBSC_EBIKE,18,2323,"51.518154,-0.062697","51.518811,-0.011662",27.0,17.0
226,20250131,1173,1187,CLASSIC,13,2323,"51.51791921,-0.188098863","51.5272947,-0.174653609",20.0,9.0
227,20250131,300045,200185,CLASSIC,7,2323,"51.47439218,-0.163347594","51.46239255,-0.16829214",12.0,10.0
228,20250131,1158,200211,CLASSIC,23,2323,"51.50908747,-0.129697889","51.472993,-0.133972",25.0,25.0
229,20250131,300068,200237,CLASSIC,6,2323,"51.48321729,-0.211860644","51.472817,-0.199783",25.0,6.0
230,20250131,1158,200211,CLASSIC,22,2323,"51.50908747,-0.129697889","51.472993,-0.133972",25.0,25.0
231,20250131,200135,300081,CLASSIC,10,2323,"51.521905,-0.063386","51.53932857,-0.074284675",26.0,9.0
232,20250131,3494,200020,CLASSIC,27,2323,"51.51918144,-0.140485596","51.511088,-0.057159",33.0,27.0
233,20250131,200133,300089,CLASSIC,19,2324,"51.481747,-0.124642","51.48796408,-0.161765173",33.0,14.0
